"time","sineVoltage.i","resistor.i","inductor.i"
0.001122,-0.2672120938458259,0.2672120938458259,0.2672120938458259
0.001224,-0.3139982152652726,0.3139982152652726,0.3139982152652726
0.001326,-0.3637833560167928,0.3637833560167928,0.3637833560167928
0.001428,-0.4163893509089143,0.4163893509089143,0.4163893509089143
0.00153,-0.4716370015601368,0.4716370015601368,0.4716370015601368
0.001632,-0.5293460748344435,0.5293460748344435,0.5293460748344435
0.001734,-0.5893358448918254,0.5893358448918254,0.5893358448918254
0.001836,-0.6514250119137595,0.6514250119137595,0.6514250119137595
0.001938,-0.7154321314238123,0.7154321314238123,0.7154321314238123
0.00204,-0.781175497193169,0.781175497193169,0.781175497193169
0.002142,-0.8484734791262409,0.8484734791262409,0.8484734791262409
0.002244,-0.9171448009404878,0.9171448009404878,0.9171448009404878
0.002346,-0.9870084943026523,0.9870084943026523,0.9870084943026523
0.002448,-1.057884250878043,1.057884250878043,1.057884250878043
0.00255,-1.129592709557614,1.129592709557614,1.129592709557614
0.002652,-1.201955321664261,1.201955321664261,1.201955321664261
0.002754,-1.274794953977405,1.274794953977405,1.274794953977405
0.002856,-1.347935737300286,1.347935737300286,1.347935737300286
0.002958,-1.421203514925502,1.421203514925502,1.421203514925502
0.00306,-1.494425972597602,1.494425972597602,1.494425972597602
0.003162,-1.567432790153816,1.567432790153816,1.567432790153816
0.003264,-1.64005576305582,1.64005576305582,1.64005576305582
0.003366,-1.712129059221115,1.712129059221115,1.712129059221115
0.003468,-1.783489506343537,1.783489506343537,1.783489506343537
0.00357,-1.853976664350672,1.853976664350672,1.853976664350672
0.003672,-1.923433051558579,1.923433051558579,1.923433051558579
0.003774,-1.99170433556798,1.99170433556798,1.99170433556798
0.003876,-2.058639437718894,2.058639437718894,2.058639437718894
0.003978,-2.12409075673651,2.12409075673651,2.12409075673651
0.00408,-2.187914451106277,2.187914451106277,2.187914451106277
0.004182,-2.249970494708838,2.249970494708838,2.249970494708838
0.004284,-2.310122647991942,2.310122647991942,2.310122647991942
0.004386,-2.368239119048263,2.368239119048263,2.368239119048263
0.004488,-2.424192403832132,2.424192403832132,2.424192403832132
0.00459,-2.477859199752041,2.477859199752041,2.477859199752041
0.004692,-2.529120899992022,2.529120899992022,2.529120899992022
0.004794,-2.577863890437781,2.577863890437781,2.577863890437781
0.004896,-2.623979322035525,2.623979322035525,2.623979322035525
0.004998,-2.667362834038221,2.667362834038221,2.667362834038221
0.0051,-2.707915909922119,2.707915909922119,2.707915909922119
0.005202,-2.745545141164767,2.745545141164767,2.745545141164767
0.005304,-2.780161955462102,2.780161955462102,2.780161955462102
0.005406,-2.811683529838713,2.811683529838713,2.811683529838713
0.005508,-2.840032851673188,2.840032851673188,2.840032851673188
0.00561,-2.865138323377677,2.865138323377677,2.865138323377677
0.005712,-2.886933450637433,2.886933450637433,2.886933450637433
0.005814,-2.905358426810658,2.905358426810658,2.905358426810658
0.005916,-2.920359112381461,2.920359112381461,2.920359112381461
0.006018,-2.931886511548046,2.931886511548046,2.931886511548046
0.00612,-2.939898166283822,2.939898166283822,2.939898166283822
0.006222,-2.944357783654239,2.944357783654239,2.944357783654239
0.006324,-2.945234809233126,2.945234809233126,2.945234809233126
0.006426,-2.942504191721684,2.942504191721684,2.942504191721684
0.006528,-2.936147886056337,2.936147886056337,2.936147886056337
0.00663,-2.926153536318093,2.926153536318093,2.926153536318093
0.006732,-2.912513966456351,2.912513966456351,2.912513966456351
0.006834,-2.895229142625641,2.895229142625641,2.895229142625641
0.006936,-2.874304755478769,2.874304755478769,2.874304755478769
0.007038,-2.849752009620211,2.849752009620211,2.849752009620211
0.00714,-2.821588711580411,2.821588711580411,2.821588711580411
0.007242,-2.789838539326878,2.789838539326878,2.789838539326878
0.007344,-2.754530157988912,2.754530157988912,2.754530157988912
0.007446,-2.715699010433561,2.715699010433561,2.715699010433561
0.007548,-2.673386109974464,2.673386109974464,2.673386109974464
0.00765,-2.627637506170291,2.627637506170291,2.627637506170291
0.007752,-2.578505376457398,2.578505376457398,2.578505376457398
0.007854,-2.526047448768468,2.526047448768468,2.526047448768468
0.007956,-2.470326317955339,2.470326317955339,2.470326317955339
0.008058,-2.411410111569232,2.411410111569232,2.411410111569232
0.00816,-2.349372354784147,2.349372354784147,2.349372354784147
0.008262,-2.284291214986305,2.284291214986305,2.284291214986305
0.008364,-2.216249799051685,2.216249799051685,2.216249799051685
0.008466,-2.145336340323383,2.145336340323383,2.145336340323383
0.008568,-2.071643390515936,2.071643390515936,2.071643390515936
0.00867,-1.995267845199318,1.995267845199318,1.995267845199318
0.008772,-1.916311374933485,1.916311374933485,1.916311374933485
0.008874,-1.834879569435765,1.834879569435765,1.834879569435765
0.008976,-1.751081746929853,1.751081746929853,1.751081746929853
0.009078,-1.665031561806144,1.665031561806144,1.665031561806144
0.00918,-1.576846127221374,1.576846127221374,1.576846127221374
0.009282,-1.48664566137905,1.48664566137905,1.48664566137905
0.009384,-1.394554190766842,1.394554190766842,1.394554190766842
0.009486,-1.300698687083121,1.300698687083121,1.300698687083121
0.009588,-1.205208617098532,1.205208617098532,1.205208617098532
0.00969,-1.108216638303276,1.108216638303276,1.108216638303276
0.009792,-1.009857795248418,1.009857795248418,1.009857795248418
0.009894,-0.9102690270384507,0.9102690270384507,0.9102690270384507
0.009996,-0.8095897821185669,0.8095897821185669,0.8095897821185669
0.010098,-0.7079612869719029,0.7079612869719029,0.7079612869719029
0.0102,-0.6055261092472641,0.6055261092472641,0.6055261092472641
0.010302,-0.5024285361545945,0.5024285361545945,0.5024285361545945
0.010404,-0.398814032709125,0.398814032709125,0.398814032709125
0.010506,-0.2948288534182434,0.2948288534182434,0.2948288534182434
0.010608,-0.1906201385001807,0.1906201385001807,0.1906201385001807
0.01071,-0.08633560530278203,0.08633560530278203,0.08633560530278203
0.010812,0.0178768372428168,-0.0178768372428168,-0.0178768372428168
0.010914,0.1218691687165747,-0.1218691687165747,-0.1218691687165747
0.011016,0.2254934474423648,-0.2254934474423648,-0.2254934474423648
0.011118,0.3286021557234186,-0.3286021557234186,-0.3286021557234186
0.01122,0.4310483779588475,-0.4310483779588475,-0.4310483779588475
0.011322,0.532685972486339,-0.532685972486339,-0.532685972486339
0.011424,0.6333698457415569,-0.6333698457415569,-0.6333698457415569
0.011526,0.732956158032061,-0.732956158032061,-0.732956158032061
0.011628,0.8313025608777804,-0.8313025608777804,-0.8313025608777804
0.01173,0.9282683772841455,-0.9282683772841455,-0.9282683772841455
0.011832,1.023714776181876,-1.023714776181876,-1.023714776181876
0.011934,1.117505138126548,-1.117505138126548,-1.117505138126548
0.012036,1.20950512801191,-1.20950512801191,-1.20950512801191
0.012138,1.299582792368837,-1.299582792368837,-1.299582792368837
0.01224,1.387609094827542,-1.387609094827542,-1.387609094827542
0.012342,1.473457875678131,-1.473457875678131,-1.473457875678131
0.012444,1.557005838620483,-1.557005838620483,-1.557005838620483
0.012546,1.638133279072402,-1.638133279072402,-1.638133279072402
0.012648,1.716723931054756,-1.716723931054756,-1.716723931054756
0.01275,1.792664821254811,-1.792664821254811,-1.792664821254811
0.012852,1.865847197569152,-1.865847197569152,-1.865847197569152
0.012954,1.93616623896912,-1.93616623896912,-1.93616623896912
0.013056,2.003520913907639,-2.003520913907639,-2.003520913907639
0.013158,2.067814805102185,-2.067814805102185,-2.067814805102185
0.01326,2.128955982729154,-2.128955982729154,-2.128955982729154
0.013362,2.186856749005691,-2.186856749005691,-2.186856749005691
0.013464,2.241434305483315,-2.241434305483315,-2.241434305483315
0.013566,2.292610865033066,-2.292610865033066,-2.292610865033066
0.013668,2.340313265383135,-2.340313265383135,-2.340313265383135
0.01377,2.384473440534095,-2.384473440534095,-2.384473440534095
0.013872,2.425028803314976,-2.425028803314976,-2.425028803314976
0.013974,2.461921728270188,-2.461921728270188,-2.461921728270188
0.014076,2.495099804348482,-2.495099804348482,-2.495099804348482
0.014178,2.524516495753695,-2.524516495753695,-2.524516495753695
0.01428,2.550130502346597,-2.550130502346597,-2.550130502346597
0.014382,2.57190578603881,-2.57190578603881,-2.57190578603881
0.014484,2.589812497344995,-2.589812497344995,-2.589812497344995
0.014586,2.603826227629547,-2.603826227629547,-2.603826227629547
0.014688,2.613927814659113,-2.613927814659113,-2.613927814659113
0.01479,2.620104505860493,-2.620104505860493,-2.620104505860493
0.014892,2.6223491213416,-2.6223491213416,-2.6223491213416
0.014994,2.620659654816968,-2.620659654816968,-2.620659654816968
0.015096,2.615040631965551,-2.615040631965551,-2.615040631965551
0.015198,2.605502206285324,-2.605502206285324,-2.605502206285324
0.0153,2.592059580069163,-2.592059580069163,-2.592059580069163
0.015402,2.574734507428783,-2.574734507428783,-2.574734507428783
0.015504,2.553554322179582,-2.553554322179582,-2.553554322179582
0.015606,2.528551332406678,-2.528551332406678,-2.528551332406678
0.015708,2.499764167165518,-2.499764167165518,-2.499764167165518
0.01581,2.467236980179704,-2.467236980179704,-2.467236980179704
0.015912,2.431018858592398,-2.431018858592398,-2.431018858592398
0.016014,2.391164723428576,-2.391164723428576,-2.391164723428576
0.016116,2.347735000170971,-2.347735000170971,-2.347735000170971
0.016218,2.300794896563372,-2.300794896563372,-2.300794896563372
0.01632,2.250414932646019,-2.250414932646019,-2.250414932646019
0.016422,2.196671004952554,-2.196671004952554,-2.196671004952554
0.016524,2.139643566501922,-2.139643566501922,-2.139643566501922
0.016626,2.079417836230565,-2.079417836230565,-2.079417836230565
0.016728,2.016084174672184,-2.016084174672184,-2.016084174672184
0.01683,1.949737200553744,-1.949737200553744,-1.949737200553744
0.016932,1.880475735175499,-1.880475735175499,-1.880475735175499
0.017034,1.808403403549914,-1.808403403549914,-1.808403403549914
0.017136,1.73362772152531,-1.73362772152531,-1.73362772152531
0.017238,1.656259833371667,-1.656259833371667,-1.656259833371667
0.01734,1.576415252930896,-1.576415252930896,-1.576415252930896
0.017442,1.494212953181658,-1.494212953181658,-1.494212953181658
0.017544,1.409774955282538,-1.409774955282538,-1.409774955282538
0.017646,1.323227128720389,-1.323227128720389,-1.323227128720389
0.017748,1.23469831197652,-1.23469831197652,-1.23469831197652
0.01785,1.144319808920523,-1.144319808920523,-1.144319808920523
0.017952,1.052226174559769,-1.052226174559769,-1.052226174559769
0.018054,0.9585543912657758,-0.9585543912657758,-0.9585543912657758
0.018156,0.8634433241063544,-0.8634433241063544,-0.8634433241063544
0.018258,0.7670344288737142,-0.7670344288737142,-0.7670344288737142
0.01836,0.6694709795080513,-0.6694709795080513,-0.6694709795080513
0.018462,0.5708976479973082,-0.5708976479973082,-0.5708976479973082
0.018564,0.471460843422901,-0.471460843422901,-0.471460843422901
0.018666,0.3713082570933335,-0.3713082570933335,-0.3713082570933335
0.018768,0.2705884241605668,-0.2705884241605668,-0.2705884241605668
0.01887,0.1694508025817741,-0.1694508025817741,-0.1694508025817741
0.018972,0.0680455343640658,-0.0680455343640658,-0.0680455343640658
0.019074,-0.03347698254505443,0.03347698254505443,0.03347698254505443
0.019176,-0.1349661843335255,0.1349661843335255,0.1349661843335255
0.019278,-0.2362714784377647,0.2362714784377647,0.2362714784377647
0.01938,-0.3372426258201695,0.3372426258201695,0.3372426258201695
0.019482,-0.4377299211849615,0.4377299211849615,0.4377299211849615
0.019584,-0.5375843256413797,0.5375843256413797,0.5375843256413797
0.019686,-0.6366577750133166,0.6366577750133166,0.6366577750133166
0.019788,-0.7348033821543887,0.7348033821543887,0.7348033821543887
0.01989,-0.8318756435816757,0.8318756435816757,0.8318756435816757
0.019992,-0.9277306533136893,0.9277306533136893,0.9277306533136893
0.020094,-1.022226271007591,1.022226271007591,1.022226271007591
0.020196,-1.115222461622479,1.115222461622479,1.115222461622479
0.020298,-1.206581401788429,1.206581401788429,1.206581401788429
0.0204,-1.296167569627528,1.296167569627528,1.296167569627528
0.020502,-1.383848257376016,1.383848257376016,1.383848257376016
0.020604,-1.469493564376479,1.469493564376479,1.469493564376479
0.020706,-1.552976376476987,1.552976376476987,1.552976376476987
0.020808,-1.634173073361099,1.634173073361099,1.634173073361099
0.02091,-1.712963398236781,1.712963398236781,1.712963398236781
0.021012,-1.789230358453157,1.789230358453157,1.789230358453157
0.021114,-1.862861028179601,1.862861028179601,1.862861028179601
0.021216,-1.933746385346948,1.933746385346948,1.933746385346948
0.021318,-2.00178117138623,2.00178117138623,2.00178117138623
0.02142,-2.066864589988271,2.066864589988271,2.066864589988271
0.021522,-2.128900318004985,2.128900318004985,2.128900318004985
0.021624,-2.187796244789484,2.187796244789484,2.187796244789484
0.021726,-2.243465023139406,2.243465023139406,2.243465023139406
0.021828,-2.295824309476891,2.295824309476891,2.295824309476891
0.02193,-2.34479637485297,2.34479637485297,2.34479637485297
0.022032,-2.390308469786763,2.390308469786763,2.390308469786763
0.022134,-2.432293323090273,2.432293323090273,2.432293323090273
0.022236,-2.47068862544347,2.47068862544347,2.47068862544347
0.022338,-2.505437186325307,2.505437186325307,2.505437186325307
0.02244,-2.536487697849477,2.536487697849477,2.536487697849477
0.022542,-2.563794099289178,2.563794099289178,2.563794099289178
0.022644,-2.587315518983739,2.587315518983739,2.587315518983739
0.022746,-2.607017289957352,2.607017289957352,2.607017289957352
0.022848,-2.622870209759272,2.622870209759272,2.622870209759272
0.02295,-2.634850272860981,2.634850272860981,2.634850272860981
0.023052,-2.642939908927028,2.642939908927028,2.642939908927028
0.023154,-2.647127156789726,2.647127156789726,2.647127156789726
