"time","sineVoltage.i","capacitor.i","inductor.i","resistor.i"
0,0,0,0,0
0.000102,-0.002476331017253979,0.002476331017253979,0.002476331017253979,0.002476331017253979
0.000204,-0.009797680888625915,0.009797680888625915,0.009797680888625915,0.009797680888625915
0.000306,-0.02179531474729447,0.02179531474729447,0.02179531474729447,0.02179531474729447
0.000408,-0.03829087758925644,0.03829087758925644,0.03829087758925644,0.03829087758925644
0.00051,-0.05909709575850171,0.05909709575850171,0.05909709575850171,0.05909709575850171
0.000612,-0.08401839386913422,0.08401839386913422,0.08401839386913422,0.08401839386913422
0.000714,-0.1128514799917457,0.1128514799917457,0.1128514799917457,0.1128514799917457
0.000816,-0.1453859621105522,0.1453859621105522,0.1453859621105522,0.1453859621105522
0.000918,-0.1814049808601789,0.1814049808601789,0.1814049808601789,0.1814049808601789
0.00102,-0.2206858089827348,0.2206858089827348,0.2206858089827348,0.2206858089827348
0.001122,-0.2630004414202468,0.2630004414202468,0.2630004414202468,0.2630004414202468
0.001224,-0.3081162303919686,0.3081162303919686,0.3081162303919686,0.3081162303919686
0.001326,-0.3557965567081881,0.3557965567081881,0.3557965567081881,0.3557965567081881
0.001428,-0.4058014007133685,0.4058014007133685,0.4058014007133685,0.4058014007133685
0.00153,-0.4578878916244872,0.4578878916244872,0.4578878916244872,0.4578878916244872
0.001632,-0.51181097436178,0.51181097436178,0.51181097436178,0.51181097436178
0.001734,-0.5673240371851095,0.5673240371851095,0.5673240371851095,0.5673240371851095
0.001836,-0.6241794448377724,0.6241794448377724,0.6241794448377724,0.6241794448377724
0.001938,-0.6821291529175638,0.6821291529175638,0.6821291529175638,0.6821291529175638
0.00204,-0.7409253400409475,0.7409253400409475,0.7409253400409475,0.7409253400409475
0.002142,-0.8003208207160931,0.8003208207160931,0.8003208207160931,0.8003208207160931
0.002244,-0.8600697983095962,0.8600697983095962,0.8600697983095962,0.8600697983095962
0.002346,-0.9199282602915534,0.9199282602915534,0.9199282602915534,0.9199282602915534
0.002448,-0.9796544987731983,0.9796544987731983,0.9796544987731983,0.9796544987731983
0.00255,-1.039009886758984,1.039009886758984,1.039009886758984,1.039009886758984
0.002652,-1.09775893056903,1.09775893056903,1.09775893056903,1.09775893056903
0.002754,-1.155670267405351,1.155670267405351,1.155670267405351,1.155670267405351
0.002856,-1.212516866929826,1.212516866929826,1.212516866929826,1.212516866929826
