"time","sineVoltage.v","inductor.v","resistor.v"
0.000816,51.38625558899846,45.52175044790258,5.864505141095886
0.000918,57.56611068751464,50.23234048797369,7.333770199540957
0.00102,63.66085669446683,54.7167696342004,8.944087060266426
0.001122,69.66148278230786,58.97299902847482,10.68848375383304
0.001224,75.55911727586199,62.99918866525109,12.5599286106109
0.001326,81.34504076872624,66.79370652805451,14.55133424067171
0.001428,87.01069901454881,70.35512497819224,16.65557403635657
0.00153,92.54771557412516,73.6822355117197,18.86548006240547
0.001632,97.9479041996138,76.77406120623607,21.17384299337774
0.001734,103.2032809375619,79.62984714188889,23.57343379567302
0.001836,108.3060759328472,82.24907545629682,26.05700047655038
0.001938,113.2487449160845,84.63145965913199,28.61728525695249
0.00204,118.0239803575129,86.77696046978615,31.24701988772676
0.002142,122.6247222708737,88.68578310582407,33.93893916504964
0.002244,127.0441686513052,90.35837661368564,36.68579203761951
0.002346,131.2757855318228,91.79544575971674,39.48033977210609
0.002448,135.3133166435171,92.99794660839538,42.3153700351217
0.00255,139.1507926651852,93.96708428288062,45.18370838230457
0.002652,142.782540048724,94.70432718215355,48.07821286657042
0.002754,146.2031894072336,95.21139124813737,50.99179815909619
0.002856,149.4076834534318,95.49025396142034,53.91742949201145
0.002958,152.3912844766424,95.54314387962233,56.84814059702006
0.00306,155.1495813473025,95.37254244339846,59.77703890390408
0.003162,157.6784960386335,94.98118443248092,62.69731160615262
0.003264,159.9742896558334,94.37205913360059,65.6022305222328
0.003366,162.0335679638765,93.54840559503197,68.48516236884458
0.003468,163.8532864057488,92.51370615200734,71.33958025374149
0.00357,165.4307546036977,91.27168802967086,74.15906657402689
0.003672,166.7636403368438,89.82631827450061,76.93732206234316
0.003774,167.8499729892715,88.18179956655237,79.66817342271918
0.003876,168.6881464635032,86.34256895474746,82.34557750875578
0.003978,169.2769215550466,84.31329128558616,84.9636302694604
0.00408,169.615427784507,82.09884974025596,87.51657804425108
0.004182,169.7031646845552,79.70434489620172,89.99881978835353
0.004284,169.5400025398471,77.13509662016936,92.40490591967769
0.004386,169.1261825788022,74.3966178168717,94.72956476193053
0.004488,168.4623166169583,71.49462046367306,96.96769615328527
0.00459,167.549386152427,68.43501816234539,99.11436799008163
0.004692,166.3887409147899,65.22390491510902,101.1648359996809
0.004794,164.9820968695799,61.86754125206869,103.1145556175112
0.004896,163.3315336812978,58.37236079987682,104.959172881421
0.004998,161.439491638715,54.74497827718614,106.6945133615289
0.0051,159.3087680470084,50.99213165012361,108.3166363968847
0.005202,156.9425130920616,47.12070744547096,109.8218056465907
0.005304,154.3442251830468,43.13774696456272,111.2064782184841
0.005406,151.5177457801722,39.0504045866237,112.4673411935485
0.005508,148.4672537152442,34.86593964831665,113.6013140669275
0.00561,145.1972590134384,30.59172607833125,114.6055329351071
0.005712,141.712596225416,26.23525819991865,115.4773380254973
0.005814,138.0184172796426,21.80408020721623,116.2143370724263
0.005916,134.1201838654765,17.30581937021806,116.8143644952585
0.006018,130.0236593582895,12.74819889636771,117.2754604619218
0.00612,125.7349002985569,8.13897364720404,117.5959266513529
0.006222,121.2602474375149,3.485936091345323,117.7743113461696
0.006324,116.6063163626248,-1.203076006700243,117.8093923693251
0.006426,111.7799877167035,-5.920179952163892,117.7001676688674
0.006528,106.7883970251795,-10.65751841707397,117.4459154422535
0.00663,101.6389241465173,-15.40721730620646,117.0461414527237
0.006732,96.33918236140399,-20.16137629685004,116.500558658254
0.006834,90.89700711683213,-24.91215858819352,115.8091657050256
0.006936,85.32044444171807,-29.65174577743271,114.9721902191508
0.007038,79.61773905118446,-34.37234133362398,113.9900803848084
0.00714,73.79732215709252,-39.06622630612391,112.8635484632164
0.007242,67.86779900284809,-43.72574257022704,111.5935415730751
0.007344,61.83793614090753,-48.34327017864894,110.1812063195565
0.007446,55.71664847179682,-52.91131194554563,108.6279604173425
0.007548,49.51298606380256,-57.422458335176,106.9354443989786
0.00765,43.23612077282414,-61.86937947398749,105.1055002468116
0.007752,36.89533268216752,-66.24488237612837,103.1402150582959
0.007854,30.49999638232977,-70.54190156840895,101.0418979507387
0.007956,24.05956711105798,-74.75348560715557,98.81305271821356
0.008058,17.58356677417494,-78.87283768859433,96.45640446276927
0.00816,11.08156986783922,-82.89332432352666,93.97489419136588
0.008262,4.563189323052289,-86.8084592763999,91.37164859945219
0.008364,-1.961937706659287,-90.61192966872667,88.64999196206739
0.008466,-8.484164093372398,-94.2976177063077,85.81345361293531
0.008568,-14.99384699764337,-97.85958261828083,82.86573562063745
0.00867,-21.48136212504399,-101.2920759330167,79.81071380797273
0.008772,-27.93711795527846,-104.5895729526179,76.65245499733939
0.008874,-34.35156992284613,-107.7467527002767,73.39518277743061
0.008976,-40.71523452828354,-110.7585044054777,70.04326987719413
0.009078,-47.01870335912134,-113.6199658313671,66.60126247224575
0.00918,-53.25265699983044,-116.3265020886854,63.07384508885495
0.009282,-59.40787881018846,-118.8737052653505,59.46582645516201
0.009384,-65.47526855169725,-121.2574361823709,55.78216763067367
0.009486,-71.44585584190644,-123.4738033252313,52.02794748332486
0.009588,-77.31081341674839,-125.5191581006897,48.20834468394126
0.00969,-83.06147018128041,-127.3901357134115,44.32866553213104
0.009792,-88.68932402953641,-129.0836358394731,40.3943118099367
0.009894,-94.18605441453539,-130.5968154960734,36.41076108153803
0.009996,-99.54353464986319,-131.9271259346059,32.38359128474268
0.010098,-104.7538439246392,-133.0722954035153,28.31845147887611
0.0102,-109.809279014104,-134.0303233839946,24.22104436989056
0.010302,-114.7023656685161,-134.7995071146999,20.09714144618378
0.010404,-119.425869663518,-135.378430971883,15.952561308365
0.010506,-123.9728074956349,-135.7659616323647,11.79315413672974
0.010608,-128.3364567070934,-135.9612622471006,7.624805540007228
0.01071,-132.5103658246939,-135.9637900368052,3.453424212111281
0.010812,-136.4883638980453,-135.7732904083326,-0.7150734897126722
0.010914,-140.2645696230569,-135.3898028743939,-4.87476674866299
0.011016,-143.8334000372014,-134.8136621395068,-9.019737897694593
0.011118,-147.1895787736917,-134.0454925447549,-13.14408622893674
0.01122,-150.328143862369,-133.0862087440151,-17.2419351183539
0.011322,-153.2444550657685,-131.9370161663149,-21.30743889945356
0.011424,-155.934200739517,-130.5994069098547,-25.33479382966227
0.011526,-158.3934042069188,-129.0751578856363,-29.31824632128244
0.011628,-160.6184296383062,-127.366327203195,-33.25210243511122
0.01173,-162.6059874264625,-125.4752523350967,-37.13073509136582
0.011832,-164.353139050168,-123.404548002893,-40.94859104727505
0.011934,-165.8573014186816,-121.1570958936197,-44.70020552506191
0.012036,-167.1162506907326,-118.7360455702562,-48.38020512047638
0.012138,-168.1281255623767,-116.1448138676232,-51.98331169475346
0.01224,-168.8914300188567,-113.387066225755,-55.5043637931017
0.012342,-169.4050355463979,-110.4667205192726,-58.93831502712526
0.012444,-169.6681828006681,-107.3879492558488,-62.28023354481931
0.012546,-169.6804827294369,-104.1551515665408,-65.52533116289608
0.012648,-169.4419171477731,-100.7729599055829,-68.66895724219022
0.01275,-168.9528387649303,-97.24624591473787,-71.70659285019244
0.012852,-168.213970662881,-93.58008276011495,-74.63388790276608
0.012954,-167.2264052272702,-89.77975566850546,-77.44664955876479
0.013056,-165.9916025323687,-85.85076597606314,-80.14083655630557
0.013158,-164.5113881824143,-81.79879597832692,-82.7125922040874
0.01326,-162.7879506125321,-77.62971130336591,-85.15823930916618
0.013362,-160.8238378532245,-73.34956789299683,-87.47426996022766
0.013464,-158.6219537632146,-68.96458154388203,-89.6573722193326
0.013566,-156.1855537362123,-64.48111913488965,-91.70443460132263
0.013668,-153.5182398879503,-59.90570927262495,-93.61253061532538
0.01377,-150.6239557306068,-55.24501810924299,-95.37893762136379
0.013872,-147.5069803424869,-50.50582820988782,-97.00115213259906
0.013974,-144.1719220415845,-45.69505291077702,-98.47686913080751
0.014076,-140.623711572376,-40.81971939843669,-99.80399217393926
0.014178,-136.8675948159204,-35.8869349857726,-100.9806598301478
0.01428,-132.9091250340441,-30.90390494018018,-102.0052200938639
0.014382,-128.7541546590737,-25.87792321752127,-102.8762314415524
0.014484,-124.4088266412602,-20.81632674746038,-103.5924998937998
