"time","capacitor.v","inductor.v","resistor.v","sineVoltage.v"
0,0,0,0,0
0.000102,0.001722864297567712,6.423336598722393,0.09905324069015917,6.52411270371012
0.000204,0.01367035350441134,12.63300219008633,0.3919072355450366,13.03857977913578
0.000306,0.04575616093702298,18.61620110782248,0.8718125898917786,19.53376985865128
0.000408,0.1075303488512949,24.36091462244311,1.531635103570258,26.00008007486466
0.00051,0.2081620336998675,29.85590439401633,2.363883830340068,32.42795025805627
0.000612,0.3564222943657789,35.09071902135945,3.360735754765369,38.8078770704906
0.000714,0.5606670841853509,40.05570177284926,4.514059199669827,45.13042805670444
0.000816,0.8288216049194481,44.74199549965692,5.815438484422087,51.38625558899846
0.000918,1.168365616668232,49.14154583643926,7.256199234407157,57.56611068751464
0.00102,1.586321328013849,53.24710300714359,8.827432359309391,63.66085669446683
0.001122,2.089242802973453,57.05222232252454,10.52001765680987,69.66148278230786
0.001224,2.683205014252589,60.55126304593066,12.32464921567875,75.55911727586199
0.001326,3.373793517051553,63.73938498334715,14.23186226832753,81.34504076872624
0.001428,4.166096424746691,66.61254656126738,16.23205602853474,87.01069901454881
0.00153,5.064699257252379,69.16750065189331,18.31551566497949,92.54771557412516
0.001632,6.073682741901598,71.40178248324101,20.4724389744712,97.9479041996138
0.001734,7.196611413460196,73.31370803669735,22.69296148740438,103.2032809375619
0.001836,8.436538078596788,74.90236006073951,24.9671777935109,108.3060759328472
0.001938,9.796000232557935,76.16757856682401,27.28516611670255,113.2487449160845
0.00204,11.27701424252834,77.10995251334668,29.6370136016379,118.0239803575129
0.002142,12.88108916847614,77.73080027375384,32.01283282864372,122.6247222708737
0.002244,14.60921280788951,78.0321639110318,34.40279193238385,127.0441686513052
0.002346,16.46186658051409,78.0167885396466,36.79713041166214,131.2757855318228
0.002448,18.43903137443877,77.68810531815038,39.18617995092794,135.3133166435171
0.00255,20.54017422764058,77.05022296718522,41.56039547035937,139.1507926651852
0.002652,22.76428732037947,76.10789550558331,43.91035722276118,142.782540048724
0.002754,25.10986102215002,74.86651768886951,46.22681069621404,146.2031894072336
0.002856,27.5749108383035,73.33209793793527,48.50067467719303,149.4076834534318
0.002958,30.15700232452343,71.51123183493314,50.72305031718582,152.3912844766424
0.00306,32.85320807703214,69.41109998113885,52.88527328913154,155.1495813473025
0.003162,35.66018521258948,67.03942285136579,54.97888797467827,157.6784960386335
0.003264,38.5741509375,64.40445081072622,56.99568790760716,159.9742896558334
0.003366,41.59090238355105,61.51493836319353,58.92772721713197,162.0335679638765
0.003468,44.70583284948641,58.38011901366326,60.76733454259916,163.8532864057488
0.00357,47.91393403420325,55.00968514426988,62.50713542522463,165.4307546036977
0.003672,51.20982821016205,51.41375724914631,64.14005487753541,166.7636403368438
0.003774,54.5877732893327,47.60286177150198,65.65933792843687,167.8499729892715
0.003876,58.04168091108742,43.58790487589456,67.05856067652127,168.6881464635032
0.003978,61.56515181580307,39.38014130753781,68.33162843170568,169.2769215550466
0.00408,65.15146143506368,34.99115608984523,69.47281025959812,169.615427784507
0.004182,68.79361095100788,30.43283040950773,70.47672332403964,169.7031646845552
0.004284,72.48432900490219,25.71731807966198,71.33835545528288,169.5400025398471
0.004386,76.21607509860377,20.85702143949307,72.0530860407054,169.1261825788022
0.004488,79.98111145835603,15.86455592121615,72.61664923738616,168.4623166169583
0.00459,83.77145115380596,10.75273173105896,73.02520326756211,167.549386152427
0.004692,87.57893995616352,5.534520545466691,73.27528041315969,166.3887409147899
0.004794,91.39526541047846,0.2230288873727773,73.36380257172868,164.9820968695799
0.004896,95.21191486622773,-5.168526321028097,73.28814513609817,163.3315336812978
0.004998,99.02032605473669,-10.62684569869486,73.04601128267318,161.439491638715
0.0051,102.8117728852236,-16.13857652139416,72.63557168317888,159.3087680470084
0.005202,106.57744960761,-21.69033800506163,72.05540148951323,156.9425130920616
0.005304,110.3084945064906,-27.26874736167458,71.30447803823083,154.3442251830468
0.005406,113.9959887305497,-32.86044920244854,70.38220625207109,151.5177457801722
0.005508,117.6310194230972,-38.45213405348574,69.28836834563269,148.4672537152442
0.00561,121.2046599254959,-44.03057265246551,68.02317174040796,145.1972590134384
0.005712,124.7080062906253,-49.58263594748186,66.58722588227255,141.712596225416
0.005814,128.1322162843436,-55.09531301996088,64.98151401525985,138.0184172796426
0.005916,131.4684671342734,-60.55575849474707,63.20747522595016,134.1201838654765
0.006018,134.7080624214023,-65.95128033024626,61.26687726713352,130.0236593582895
0.00612,137.842383426659,-71.26939696282942,59.16191383472734,125.7349002985569
0.006222,140.8629170795452,-76.4978572699185,56.89518762788816,121.2602474375149
0.006324,143.7613423538748,-81.62462387223891,54.46959788098896,116.6063163626248
0.006426,146.5294708546935,-86.63793504784863,51.88845190985859,111.7799877167035
0.006528,149.1593122956519,-91.52630464265417,49.15538937218179,106.7883970251795
0.00663,151.6430664535751,-96.27855363312869,46.27441132607083,101.6389241465173
0.006732,153.9731359487823,-100.883831105642,43.24987751826364,96.33918236140399
0.006834,156.1421802905681,-105.3316168248702,40.08644365113426,90.89700711683213
0.006936,158.1430831610564,-109.6117632074672,36.78912448812887,85.32044444171807
0.007038,159.9690183407775,-113.7144840364786,33.36320474688551,79.61773905118446
0.00714,161.6134458659031,-117.6303830783997,29.81425936958908,73.79732215709252
0.007242,163.070094752647,-121.3504914640732,26.14819571427426,67.86779900284809
0.007344,164.3330447907843,-124.8662321538735,22.37112350399677,61.83793614090753
0.007446,165.3966810798835,-128.1694743591786,18.48944175109189,55.71664847179682
